customer_id,churned,churn_date,churn_reason
CUST_00001,1,2026-01-08 00:00:00,technical_issues
CUST_00002,0,,
CUST_00003,0,,
CUST_00004,0,,
CUST_00005,0,,
CUST_00006,0,,
CUST_00007,0,,
CUST_00008,1,2026-01-16 00:00:00,competitor_price
CUST_00009,0,,
CUST_00010,0,,
CUST_00011,1,2026-02-15 00:00:00,poor_service
CUST_00012,0,,
CUST_00013,0,,
CUST_00014,1,2026-01-28 00:00:00,poor_service
CUST_00015,1,2026-02-04 00:00:00,poor_service
CUST_00016,0,,
CUST_00017,0,,
CUST_00018,1,2026-02-04 00:00:00,technical_issues
CUST_00019,0,,
CUST_00020,0,,
CUST_00021,1,2025-12-22 00:00:00,technical_issues
CUST_00022,0,,
CUST_00023,0,,
CUST_00024,0,,
CUST_00025,0,,
CUST_00026,0,,
CUST_00027,1,2026-01-02 00:00:00,poor_service
CUST_00028,0,,
CUST_00029,0,,
CUST_00030,0,,
CUST_00031,0,,
CUST_00032,1,2026-02-11 00:00:00,poor_service
CUST_00033,0,,
CUST_00034,0,,
CUST_00035,0,,
CUST_00036,0,,
CUST_00037,0,,
CUST_00038,0,,
CUST_00039,0,,
CUST_00040,0,,
CUST_00041,0,,
CUST_00042,0,,
CUST_00043,0,,
CUST_00044,0,,
CUST_00045,0,,
CUST_00046,0,,
CUST_00047,0,,
CUST_00048,0,,
CUST_00049,0,,
CUST_00050,0,,
CUST_00051,1,2026-01-05 00:00:00,poor_service
CUST_00052,0,,
CUST_00053,0,,
CUST_00054,0,,
CUST_00055,0,,
CUST_00056,0,,
CUST_00057,0,,
CUST_00058,1,2026-02-05 00:00:00,relocation
CUST_00059,0,,
CUST_00060,0,,
CUST_00061,0,,
CUST_00062,0,,
CUST_00063,0,,
CUST_00064,1,2026-01-24 00:00:00,competitor_price
CUST_00065,0,,
CUST_00066,0,,
CUST_00067,0,,
CUST_00068,0,,
CUST_00069,0,,
CUST_00070,0,,
CUST_00071,0,,
CUST_00072,1,2025-12-31 00:00:00,competitor_price
CUST_00073,0,,
CUST_00074,1,2026-01-28 00:00:00,technical_issues
CUST_00075,0,,
CUST_00076,0,,
CUST_00077,0,,
CUST_00078,0,,
CUST_00079,0,,
CUST_00080,1,2026-02-19 00:00:00,poor_service
CUST_00081,0,,
CUST_00082,1,2026-01-03 00:00:00,relocation
CUST_00083,0,,
CUST_00084,0,,
CUST_00085,0,,
CUST_00086,0,,
CUST_00087,0,,
CUST_00088,0,,
CUST_00089,0,,
CUST_00090,0,,
CUST_00091,0,,
CUST_00092,0,,
CUST_00093,0,,
CUST_00094,0,,
CUST_00095,0,,
CUST_00096,0,,
CUST_00097,0,,
CUST_00098,0,,
CUST_00099,0,,
CUST_00100,0,,
CUST_00101,0,,
CUST_00102,0,,
CUST_00103,0,,
CUST_00104,0,,
CUST_00105,0,,
CUST_00106,0,,
CUST_00107,0,,
CUST_00108,0,,
CUST_00109,0,,
CUST_00110,0,,
CUST_00111,0,,
CUST_00112,0,,
CUST_00113,0,,
CUST_00114,0,,
CUST_00115,0,,
CUST_00116,0,,
CUST_00117,0,,
CUST_00118,0,,
CUST_00119,0,,
CUST_00120,0,,
CUST_00121,1,2025-12-20 00:00:00,competitor_price
CUST_00122,0,,
CUST_00123,0,,
CUST_00124,0,,
