customer_id,churned,churn_reason
CUST_00001,0,
CUST_00002,0,
CUST_00003,1,competitor_price
CUST_00004,0,
CUST_00005,1,technical_issues
CUST_00006,1,competitor_price
CUST_00007,0,
CUST_00008,0,
CUST_00009,0,
CUST_00010,0,
CUST_00011,1,competitor_price
CUST_00012,0,
CUST_00013,0,
CUST_00014,0,
CUST_00015,0,
CUST_00016,0,
CUST_00017,1,competitor_price
CUST_00018,0,
CUST_00019,1,technical_issues
CUST_00020,0,
CUST_00021,1,technical_issues
CUST_00022,0,
CUST_00023,0,
CUST_00024,1,competitor_price
CUST_00025,0,
CUST_00026,0,
CUST_00027,0,
CUST_00028,0,
CUST_00029,1,technical_issues
CUST_00030,0,
CUST_00031,0,
CUST_00032,1,technical_issues
CUST_00033,0,
CUST_00034,1,competitor_price
CUST_00035,1,competitor_price
CUST_00036,0,
CUST_00037,0,
CUST_00038,0,
CUST_00039,0,
CUST_00040,0,
CUST_00041,0,
CUST_00042,1,poor_service
CUST_00043,0,
CUST_00044,0,
CUST_00045,0,
CUST_00046,1,relocation
CUST_00047,0,
CUST_00048,0,
CUST_00049,0,
CUST_00050,0,
CUST_00051,0,
CUST_00052,0,
CUST_00053,0,
CUST_00054,0,
CUST_00055,0,
CUST_00056,0,
CUST_00057,0,
CUST_00058,0,
CUST_00059,0,
CUST_00060,0,
CUST_00061,0,
CUST_00062,0,
CUST_00063,0,
CUST_00064,0,
CUST_00065,0,
CUST_00066,1,competitor_price
CUST_00067,0,
CUST_00068,0,
CUST_00069,0,
CUST_00070,0,
CUST_00071,0,
CUST_00072,1,poor_service
CUST_00073,0,
CUST_00074,0,
CUST_00075,0,
CUST_00076,1,competitor_price
CUST_00077,0,
CUST_00078,0,
CUST_00079,0,
CUST_00080,0,
CUST_00081,0,
CUST_00082,0,
CUST_00083,0,
CUST_00084,0,
CUST_00085,1,competitor_price
CUST_00086,0,
CUST_00087,0,
CUST_00088,0,
CUST_00089,0,
CUST_00090,0,
CUST_00091,1,technical_issues
CUST_00092,0,
CUST_00093,0,
CUST_00094,0,
CUST_00095,0,
CUST_00096,0,
CUST_00097,0,
CUST_00098,0,
CUST_00099,0,
CUST_00100,0,
CUST_00101,0,
CUST_00102,0,
CUST_00103,0,
CUST_00104,0,
CUST_00105,0,
CUST_00106,1,competitor_price
CUST_00107,0,
CUST_00108,0,
CUST_00109,0,
CUST_00110,0,
CUST_00111,0,
CUST_00112,1,poor_service
CUST_00113,0,
CUST_00114,0,
CUST_00115,0,
CUST_00116,0,
CUST_00117,0,
CUST_00118,0,
CUST_00119,0,
CUST_00120,0,
CUST_00121,0,
CUST_00122,0,
CUST_00123,0,
CUST_00124,1,technical_issues
CUST_00125,0,
CUST_00126,0,
CUST_00127,0,
CUST_00128,0,
CUST_00129,0,
CUST_00130,0,
CUST_00131,0,
CUST_00132,0,
CUST_00133,0,
CUST_00134,0,
CUST_00135,0,
CUST_00136,0,
CUST_00137,0,
CUST_00138,0,
CUST_00139,0,
CUST_00140,0,
CUST_00141,0,
CUST_00142,0,
CUST_00143,0,
CUST_00144,0,
CUST_00145,1,poor_service
CUST_00146,0,
CUST_00147,0,
CUST_00148,0,
CUST_00149,0,
CUST_00150,0,
CUST_00151,0,
CUST_00152,0,
CUST_00153,0,
CUST_00154,0,
CUST_00155,0,
CUST_00156,0,
CUST_00157,0,
CUST_00158,0,
CUST_00159,0,
CUST_00160,0,
CUST_00161,0,
CUST_00162,0,
CUST_00163,0,
CUST_00164,0,
CUST_00165,0,
CUST_00166,0,
CUST_00167,0,
CUST_00168,0,
CUST_00169,0,
CUST_00170,0,
CUST_00171,0,
CUST_00172,0,
CUST_00173,0,
CUST_00174,0,
CUST_00175,0,
CUST_00176,0,
CUST_00177,0,
CUST_00178,0,
CUST_00179,0,
CUST_00180,0,
CUST_00181,0,
CUST_00182,0,
CUST_00183,0,
CUST_00184,0,
CUST_00185,0,
CUST_00186,0,
CUST_00187,0,
CUST_00188,0,
CUST_00189,0,
CUST_00190,0,
CUST_00191,0,
CUST_00192,0,
CUST_00193,0,
CUST_00194,0,
CUST_00195,0,
CUST_00196,1,technical_issues
CUST_00197,0,
CUST_00198,1,technical_issues
CUST_00199,0,
CUST_00200,0,
CUST_00201,0,
CUST_00202,0,
CUST_00203,0,
CUST_00204,0,
CUST_00205,0,
CUST_00206,0,
CUST_00207,0,
CUST_00208,0,
CUST_00209,0,
CUST_00210,0,
CUST_00211,0,
CUST_00212,1,competitor_price
CUST_00213,0,
CUST_00214,0,
CUST_00215,0,
CUST_00216,0,
CUST_00217,1,competitor_price
CUST_00218,0,
CUST_00219,0,
CUST_00220,0,
CUST_00221,0,
CUST_00222,0,
CUST_00223,1,poor_service
CUST_00224,0,
CUST_00225,0,
CUST_00226,0,
CUST_00227,0,
CUST_00228,0,
CUST_00229,0,
CUST_00230,0,
CUST_00231,0,
CUST_00232,0,
CUST_00233,0,
CUST_00234,0,
CUST_00235,0,
CUST_00236,0,
CUST_00237,0,
CUST_00238,0,
CUST_00239,0,
CUST_00240,0,
CUST_00241,0,
CUST_00242,0,
CUST_00243,1,competitor_price
CUST_00244,0,
CUST_00245,0,
CUST_00246,0,
CUST_00247,1,poor_service
CUST_00248,1,relocation
CUST_00249,0,
CUST_00250,1,technical_issues
CUST_00251,0,
CUST_00252,0,
CUST_00253,1,competitor_price
CUST_00254,0,
CUST_00255,0,
CUST_00256,0,
CUST_00257,0,
CUST_00258,0,
CUST_00259,0,
CUST_00260,0,
CUST_00261,0,
CUST_00262,0,
CUST_00263,1,relocation
CUST_00264,0,
CUST_00265,0,
CUST_00266,0,
CUST_00267,0,
CUST_00268,1,poor_service
CUST_00269,0,
CUST_00270,0,
CUST_00271,0,
CUST_00272,0,
CUST_00273,0,
CUST_00274,0,
CUST_00275,0,
CUST_00276,0,
CUST_00277,1,relocation
CUST_00278,0,
CUST_00279,0,
CUST_00280,0,
CUST_00281,0,
CUST_00282,0,
CUST_00283,0,
CUST_00284,1,competitor_price
CUST_00285,0,
CUST_00286,0,
CUST_00287,0,
CUST_00288,0,
CUST_00289,0,
CUST_00290,0,
CUST_00291,0,
CUST_00292,0,
CUST_00293,0,
CUST_00294,0,
CUST_00295,0,
CUST_00296,1,competitor_price
CUST_00297,0,
CUST_00298,0,
CUST_00299,0,
CUST_00300,1,technical_issues
CUST_00301,0,
CUST_00302,0,
CUST_00303,0,
CUST_00304,0,
CUST_00305,0,
CUST_00306,0,
CUST_00307,0,
CUST_00308,0,
CUST_00309,0,
CUST_00310,0,
CUST_00311,0,
CUST_00312,0,
CUST_00313,1,technical_issues
CUST_00314,0,
CUST_00315,1,relocation
CUST_00316,0,
CUST_00317,0,
CUST_00318,0,
CUST_00319,0,
CUST_00320,0,
CUST_00321,0,
CUST_00322,1,poor_service
CUST_00323,0,
CUST_00324,1,competitor_price
CUST_00325,0,
CUST_00326,0,
CUST_00327,0,
CUST_00328,0,
CUST_00329,0,
CUST_00330,0,
CUST_00331,0,
CUST_00332,0,
CUST_00333,0,
CUST_00334,0,
CUST_00335,0,
CUST_00336,0,
CUST_00337,0,
CUST_00338,0,
CUST_00339,0,
CUST_00340,0,
CUST_00341,0,
CUST_00342,0,
CUST_00343,0,
CUST_00344,0,
CUST_00345,0,
CUST_00346,1,competitor_price
CUST_00347,1,relocation
CUST_00348,0,
CUST_00349,1,unknown
CUST_00350,0,
CUST_00351,0,
CUST_00352,0,
CUST_00353,1,competitor_price
CUST_00354,0,
CUST_00355,0,
CUST_00356,0,
CUST_00357,0,
CUST_00358,0,
CUST_00359,0,
CUST_00360,0,
CUST_00361,0,
CUST_00362,0,
CUST_00363,0,
CUST_00364,0,
CUST_00365,0,
CUST_00366,0,
CUST_00367,0,
CUST_00368,0,
CUST_00369,0,
CUST_00370,0,
CUST_00371,0,
CUST_00372,0,
CUST_00373,1,competitor_price
CUST_00374,0,
CUST_00375,0,
CUST_00376,0,
CUST_00377,0,
CUST_00378,0,
CUST_00379,0,
CUST_00380,0,
CUST_00381,1,technical_issues
CUST_00382,0,
CUST_00383,0,
CUST_00384,0,
CUST_00385,0,
CUST_00386,0,
CUST_00387,0,
CUST_00388,0,
CUST_00389,0,
CUST_00390,0,
CUST_00391,1,competitor_price
CUST_00392,0,
CUST_00393,0,
CUST_00394,0,
CUST_00395,1,technical_issues
CUST_00396,0,
CUST_00397,0,
CUST_00398,0,
CUST_00399,0,
CUST_00400,1,relocation
CUST_00401,0,
CUST_00402,1,relocation
CUST_00403,0,
CUST_00404,0,
CUST_00405,0,
CUST_00406,1,competitor_price
CUST_00407,0,
CUST_00408,1,poor_service
CUST_00409,0,
CUST_00410,0,
CUST_00411,0,
CUST_00412,0,
CUST_00413,1,technical_issues
CUST_00414,0,
CUST_00415,0,
CUST_00416,1,competitor_price
CUST_00417,0,
CUST_00418,0,
CUST_00419,0,
CUST_00420,0,
CUST_00421,0,
CUST_00422,0,
CUST_00423,0,
CUST_00424,1,price_increase
CUST_00425,0,
CUST_00426,0,
CUST_00427,0,
CUST_00428,0,
CUST_00429,1,unknown
CUST_00430,0,
CUST_00431,0,
CUST_00432,1,competitor_price
CUST_00433,1,competitor_price
CUST_00434,0,
CUST_00435,0,
CUST_00436,0,
CUST_00437,0,
CUST_00438,1,competitor_price
CUST_00439,0,
CUST_00440,0,
CUST_00441,0,
CUST_00442,0,
CUST_00443,0,
CUST_00444,0,
CUST_00445,0,
CUST_00446,0,
CUST_00447,1,competitor_price
CUST_00448,0,
CUST_00449,1,poor_service
CUST_00450,0,
CUST_00451,0,
CUST_00452,0,
CUST_00453,0,
CUST_00454,1,technical_issues
CUST_00455,0,
CUST_00456,0,
CUST_00457,0,
CUST_00458,1,unknown
CUST_00459,1,competitor_price
CUST_00460,0,
CUST_00461,0,
CUST_00462,0,
CUST_00463,1,unknown
CUST_00464,0,
CUST_00465,0,
CUST_00466,0,
CUST_00467,0,
CUST_00468,0,
CUST_00469,0,
CUST_00470,1,technical_issues
CUST_00471,0,
CUST_00472,0,
CUST_00473,0,
CUST_00474,1,price_increase
CUST_00475,0,
CUST_00476,0,
CUST_00477,0,
CUST_00478,0,
CUST_00479,1,competitor_price
CUST_00480,1,competitor_price
CUST_00481,0,
CUST_00482,0,
CUST_00483,0,
CUST_00484,0,
CUST_00485,0,
CUST_00486,0,
CUST_00487,0,
CUST_00488,0,
CUST_00489,1,poor_service
CUST_00490,1,unknown
CUST_00491,1,technical_issues
CUST_00492,0,
CUST_00493,1,price_increase
CUST_00494,0,
CUST_00495,0,
CUST_00496,0,
CUST_00497,1,technical_issues
CUST_00498,0,
